sc67b3p120

NE black even
2, 241, 53, 35, (67) {total: 396} {consumed: 3} glider(d8)(ph0)(♗⬀⓪)
2, 241, 69, 181, (67) {total: 558} {consumed: 5} glider(d2)(ph2)(♗⬀⓪)
2, 245, 71, 77, (238) {total: 631} {consumed: 6} glider(d-18)(ph2)(♗⬀⓪)
2, 247, 51, 182, (432) {total: 912} {consumed: 8} glider(d-18)(ph0)(♗⬀⓪)
2, 247, 59, 123, (737) {total: 1166} {consumed: 10} glider(d-18)(ph0)(♗⬀⓪)
2, 253, 206, 114, (354) {total: 927} {consumed: 8} glider(d2)(ph0)(♗⬀⓪)
2, 255, 201, 217, (479) {total: 1152} {consumed: 10} glider(d-2)(ph2)(♗⬀⓪)
2, 255, 201, 227, (348) {total: 1031} {consumed: 10} glider(d-2)(ph0)(♗⬀⓪)
2, 255, 217, 215, (183) {total: 870} {consumed: 8} glider(d-12)(ph0)(♗⬀⓪)
3, 35, 55, 108, (67) {total: 265} {consumed: 3} glider(d-14)(ph0)(♗⬀⓪)
3, 35, 131, 45, (67) {total: 278} {consumed: 3} glider(d-12)(ph0)(♗⬀⓪)
3, 66, 255, 88, (261) {total: 670} {consumed: 7} glider(d-24)(ph2)(♗⬀⓪)
3, 66, 255, 98, (148) {total: 567} {consumed: 6} glider(d-24)(ph2)(♗⬀⓪)
3, 66, 255, 117, (320) {total: 758} {consumed: 8} glider(d-24)(ph2)(♗⬀⓪)
3, 121, 75, 148, (400) {total: 744} {consumed: 7} glider(d-22)(ph0)(♗⬀⓪)
4, 254, 109, 142, (67) {total: 572} {consumed: 4} glider(d18)(ph2)(♗⬀⓪)
4, 254, 251, 38, (67) {total: 610} {consumed: 4} glider(d42)(ph0)(♗⬀⓪)
5, 36, 56, 39, (90) {total: 221} {consumed: 2} glider(d12)(ph2)(♗⬀⓪)
5, 38, 56, 39, (90) {total: 223} {consumed: 2} glider(d12)(ph0)(♗⬀⓪)
