sc35/67b3p46

NE black even
0, 35, 74, 41, (97) {total: 247} {consumed: 5} glider(d-4)(ph3)(♗⬀①)
0, 44, 54, 82, (67) {total: 247} {consumed: 6} glider(d-4)(ph1)(♗⬀①)
5, 85, 47, 49, (67) {total: 248} {consumed: 3} glider(d22)(ph3)(♗⬀①)
0, 89, 35, 57, (67) {total: 248} {consumed: 7} glider(d-14)(ph1)(♗⬀①)
6, 41, 42, 51, (115) {total: 249} {consumed: 6} glider(d-10)(ph3)(♗⬀①)
5, 100, 43, 40, (67) {total: 250} {consumed: 3} glider(d20)(ph1)(♗⬀①)
0, 51, 78, 55, (67) {total: 251} {consumed: 4} glider(d10)(ph3)(♗⬀①)
5, 98, 44, 35, (75) {total: 252} {consumed: 4} glider(d-4)(ph1)(♗⬀①)
1, 94, 35, 57, (67) {total: 253} {consumed: 8} glider(d-24)(ph3)(♗⬀①)
0, 43, 74, 41, (97) {total: 255} {consumed: 5} glider(d-2)(ph3)(♗⬀①)
0, 52, 54, 82, (67) {total: 255} {consumed: 6} glider(d-2)(ph1)(♗⬀①)
2, 74, 49, 66, (67) {total: 256} {consumed: 4} glider(d10)(ph1)(♗⬀①)
1, 56, 78, 55, (67) {total: 256} {consumed: 5} glider(d0)(ph1)(♗⬀①)
0, 97, 35, 57, (67) {total: 256} {consumed: 7} glider(d-12)(ph1)(♗⬀①)
2, 53, 117, (87) {total: 257} {consumed: 8} glider(d-8)(ph3)(♗⬀①)
0, 59, 78, 55, (67) {total: 259} {consumed: 4} glider(d12)(ph3)(♗⬀①)
1, 57, 54, 82, (67) {total: 260} {consumed: 7} glider(d-12)(ph3)(♗⬀①)
2, 74, 80, 40, (67) {total: 261} {consumed: 4} glider(d4)(ph1)(♗⬀①)
1, 102, 38, 54, (67) {total: 261} {consumed: 8} glider(d-22)(ph3)(♗⬀①)
0, 51, 74, 41, (97) {total: 263} {consumed: 5} glider(d0)(ph3)(♗⬀①)
0, 60, 54, 82, (67) {total: 263} {consumed: 6} glider(d0)(ph1)(♗⬀①)
1, 64, 78, 55, (67) {total: 264} {consumed: 5} glider(d2)(ph1)(♗⬀①)
0, 105, 35, 57, (67) {total: 264} {consumed: 7} glider(d-10)(ph1)(♗⬀①)
0, 67, 78, 55, (67) {total: 267} {consumed: 4} glider(d14)(ph3)(♗⬀①)
1, 56, 74, 41, (97) {total: 268} {consumed: 6} glider(d-10)(ph1)(♗⬀①)
1, 65, 54, 82, (67) {total: 268} {consumed: 7} glider(d-10)(ph3)(♗⬀①)
1, 110, 37, 55, (67) {total: 269} {consumed: 8} glider(d-20)(ph3)(♗⬀①)
0, 59, 74, 41, (97) {total: 271} {consumed: 5} glider(d2)(ph3)(♗⬀①)
0, 68, 54, 82, (67) {total: 271} {consumed: 6} glider(d2)(ph1)(♗⬀①)
2, 81, 39, 73, (78) {total: 271} {consumed: 6} glider(d-4)(ph3)(♗⬀①)
1, 72, 78, 55, (67) {total: 272} {consumed: 5} glider(d4)(ph1)(♗⬀①)
0, 113, 35, 57, (67) {total: 272} {consumed: 7} glider(d-8)(ph1)(♗⬀①)
2, 45, 74, 86, (67) {total: 272} {consumed: 8} glider(d-4)(ph1)(♗⬀①)
0, 75, 78, 55, (67) {total: 275} {consumed: 4} glider(d16)(ph3)(♗⬀①)
1, 64, 74, 41, (97) {total: 276} {consumed: 6} glider(d-8)(ph1)(♗⬀①)
1, 73, 54, 82, (67) {total: 276} {consumed: 7} glider(d-8)(ph3)(♗⬀①)
1, 118, 54, 38, (67) {total: 277} {consumed: 8} glider(d-18)(ph3)(♗⬀①)
2, 59, 45, 107, (67) {total: 278} {consumed: 4} glider(d16)(ph1)(♗⬀①)
0, 67, 74, 41, (97) {total: 279} {consumed: 5} glider(d4)(ph3)(♗⬀①)
6, 79, 46, 87, (67) {total: 279} {consumed: 5} glider(d-6)(ph1)(♗⬀①)
0, 76, 54, 82, (67) {total: 279} {consumed: 6} glider(d4)(ph1)(♗⬀①)
1, 80, 78, 55, (67) {total: 280} {consumed: 5} glider(d6)(ph1)(♗⬀①)
0, 121, 37, 55, (67) {total: 280} {consumed: 7} glider(d-6)(ph1)(♗⬀①)
0, 83, 78, 55, (67) {total: 283} {consumed: 4} glider(d18)(ph3)(♗⬀①)
1, 81, 54, 82, (67) {total: 284} {consumed: 7} glider(d-6)(ph3)(♗⬀①)
1, 126, 37, 55, (67) {total: 285} {consumed: 8} glider(d-16)(ph3)(♗⬀①)
5, 98, 67, (122) {total: 287} {consumed: 5} glider(d6)(ph1)(♗⬀①)
0, 75, 74, 41, (97) {total: 287} {consumed: 5} glider(d6)(ph3)(♗⬀①)
0, 84, 54, 82, (67) {total: 287} {consumed: 6} glider(d6)(ph1)(♗⬀①)
1, 88, 78, 55, (67) {total: 288} {consumed: 5} glider(d8)(ph1)(♗⬀①)
0, 91, 78, 55, (67) {total: 291} {consumed: 4} glider(d20)(ph3)(♗⬀①)
2, 63, 57, 105, (67) {total: 292} {consumed: 5} glider(d-8)(ph3)(♗⬀①)
1, 89, 54, 82, (67) {total: 292} {consumed: 7} glider(d-4)(ph3)(♗⬀①)
2, 53, 117, 55, (67) {total: 292} {consumed: 8} glider(d-8)(ph3)(♗⬀①)
5, 97, 76, (122) {total: 295} {consumed: 5} glider(d8)(ph1)(♗⬀①)
0, 83, 74, 41, (97) {total: 295} {consumed: 5} glider(d8)(ph3)(♗⬀①)
0, 92, 54, 82, (67) {total: 295} {consumed: 6} glider(d8)(ph1)(♗⬀①)
1, 96, 78, 55, (67) {total: 296} {consumed: 5} glider(d10)(ph1)(♗⬀①)
0, 40, 53, 117, (87) {total: 297} {consumed: 9} glider(d-10)(ph1)(♗⬀①)
0, 99, 78, 55, (67) {total: 299} {consumed: 4} glider(d22)(ph3)(♗⬀①)
1, 97, 54, 82, (67) {total: 300} {consumed: 7} glider(d-2)(ph3)(♗⬀①)
