sc67b6p120

NE black even
7, 169, (367) {total: 536} {consumed: 5} glider(d0)(ph2)(♗⬀⓪)
1, 96, 110, 169, (367) {total: 742} {consumed: 9} glider(d-70)(ph2)(♗⬀⓪)
1, 96, 118, 169, (367) {total: 750} {consumed: 9} glider(d-68)(ph2)(♗⬀⓪)
1, 96, 126, 169, (367) {total: 758} {consumed: 9} glider(d-66)(ph2)(♗⬀⓪)
1, 96, 134, 169, (367) {total: 766} {consumed: 9} glider(d-64)(ph2)(♗⬀⓪)
1, 96, 142, 169, (367) {total: 774} {consumed: 9} glider(d-62)(ph2)(♗⬀⓪)
1, 96, 150, 169, (367) {total: 782} {consumed: 9} glider(d-60)(ph2)(♗⬀⓪)
1, 97, 253, 169, (367) {total: 886} {consumed: 7} glider(d26)(ph2)(♗⬀⓪)
1, 98, 40, 141, (367) {total: 646} {consumed: 6} glider(d-4)(ph2)(♗⬀⓪)
1, 98, 162, 80, (122) {total: 462} {consumed: 5} glider(d-20)(ph2)(♗⬀⓪)
1, 100, 110, 35, (613) {total: 858} {consumed: 8} glider(d-14)(ph0)(♗⬀⓪)
1, 101, 54, 97, (186) {total: 438} {consumed: 4} glider(d4)(ph2)(♗⬀⓪)
1, 101, 54, 246, (67) {total: 468} {consumed: 4} glider(d8)(ph2)(♗⬀⓪)
1, 104, 92, 36, (67) {total: 299} {consumed: 4} glider(d-40)(ph2)(♗⬀⓪)
1, 104, 92, 38, (67) {total: 301} {consumed: 4} glider(d-40)(ph0)(♗⬀⓪)
1, 104, 92, 114, (67) {total: 377} {consumed: 5} glider(d-40)(ph0)(♗⬀⓪)
1, 104, 92, 117, (170) {total: 483} {consumed: 6} glider(d-42)(ph2)(♗⬀⓪)
1, 106, 36, 169, (367) {total: 678} {consumed: 8} glider(d-56)(ph2)(♗⬀⓪)
1, 106, 44, 169, (367) {total: 686} {consumed: 8} glider(d-54)(ph2)(♗⬀⓪)
1, 106, 52, 169, (367) {total: 694} {consumed: 8} glider(d-52)(ph2)(♗⬀⓪)
1, 106, 60, 169, (367) {total: 702} {consumed: 8} glider(d-50)(ph2)(♗⬀⓪)
1, 106, 68, 169, (367) {total: 710} {consumed: 8} glider(d-48)(ph2)(♗⬀⓪)
1, 106, 244, 169, (367) {total: 886} {consumed: 8} glider(d-4)(ph2)(♗⬀⓪)
1, 106, 252, 169, (367) {total: 894} {consumed: 8} glider(d-2)(ph2)(♗⬀⓪)
1, 112, 92, 36, (67) {total: 307} {consumed: 4} glider(d-38)(ph2)(♗⬀⓪)
1, 112, 92, 38, (67) {total: 309} {consumed: 4} glider(d-38)(ph0)(♗⬀⓪)
1, 112, 92, 114, (67) {total: 385} {consumed: 5} glider(d-38)(ph0)(♗⬀⓪)
1, 112, 92, 117, (170) {total: 491} {consumed: 6} glider(d-40)(ph2)(♗⬀⓪)
1, 114, 252, 169, (367) {total: 902} {consumed: 8} glider(d0)(ph2)(♗⬀⓪)
1, 120, 92, 36, (67) {total: 315} {consumed: 4} glider(d-36)(ph2)(♗⬀⓪)
1, 120, 92, 38, (67) {total: 317} {consumed: 4} glider(d-36)(ph0)(♗⬀⓪)
1, 120, 92, 114, (67) {total: 393} {consumed: 5} glider(d-36)(ph0)(♗⬀⓪)
1, 120, 92, 117, (170) {total: 499} {consumed: 6} glider(d-38)(ph2)(♗⬀⓪)
1, 122, 252, 169, (367) {total: 910} {consumed: 8} glider(d2)(ph2)(♗⬀⓪)
1, 128, 92, 36, (67) {total: 323} {consumed: 4} glider(d-34)(ph2)(♗⬀⓪)
1, 128, 92, 38, (67) {total: 325} {consumed: 4} glider(d-34)(ph0)(♗⬀⓪)
1, 128, 92, 114, (67) {total: 401} {consumed: 5} glider(d-34)(ph0)(♗⬀⓪)
1, 128, 92, 117, (170) {total: 507} {consumed: 6} glider(d-36)(ph2)(♗⬀⓪)
1, 128, 254, 169, (367) {total: 918} {consumed: 9} glider(d-26)(ph2)(♗⬀⓪)
1, 130, 252, 169, (367) {total: 918} {consumed: 8} glider(d4)(ph2)(♗⬀⓪)
1, 136, 92, 36, (67) {total: 331} {consumed: 4} glider(d-32)(ph2)(♗⬀⓪)
1, 136, 92, 38, (67) {total: 333} {consumed: 4} glider(d-32)(ph0)(♗⬀⓪)
1, 136, 92, 114, (67) {total: 409} {consumed: 5} glider(d-32)(ph0)(♗⬀⓪)
1, 136, 92, 117, (170) {total: 515} {consumed: 6} glider(d-34)(ph2)(♗⬀⓪)
1, 136, 254, 169, (367) {total: 926} {consumed: 9} glider(d-24)(ph2)(♗⬀⓪)
1, 138, 252, 169, (367) {total: 926} {consumed: 8} glider(d6)(ph2)(♗⬀⓪)
1, 144, 92, 36, (67) {total: 339} {consumed: 4} glider(d-30)(ph2)(♗⬀⓪)
1, 144, 92, 38, (67) {total: 341} {consumed: 4} glider(d-30)(ph0)(♗⬀⓪)
1, 144, 92, 114, (67) {total: 417} {consumed: 5} glider(d-30)(ph0)(♗⬀⓪)
1, 144, 92, 117, (170) {total: 523} {consumed: 6} glider(d-32)(ph2)(♗⬀⓪)
1, 144, 254, 169, (367) {total: 934} {consumed: 9} glider(d-22)(ph2)(♗⬀⓪)
1, 146, 252, 169, (367) {total: 934} {consumed: 8} glider(d8)(ph2)(♗⬀⓪)
1, 152, 92, 36, (67) {total: 347} {consumed: 4} glider(d-28)(ph2)(♗⬀⓪)
1, 152, 92, 38, (67) {total: 349} {consumed: 4} glider(d-28)(ph0)(♗⬀⓪)
1, 152, 92, 114, (67) {total: 425} {consumed: 5} glider(d-28)(ph0)(♗⬀⓪)
1, 152, 92, 117, (170) {total: 531} {consumed: 6} glider(d-30)(ph2)(♗⬀⓪)
1, 152, 254, 169, (367) {total: 942} {consumed: 9} glider(d-20)(ph2)(♗⬀⓪)
1, 154, 252, 169, (367) {total: 942} {consumed: 8} glider(d10)(ph2)(♗⬀⓪)
1, 160, 254, 169, (367) {total: 950} {consumed: 9} glider(d-18)(ph2)(♗⬀⓪)
1, 162, 252, 169, (367) {total: 950} {consumed: 8} glider(d12)(ph2)(♗⬀⓪)
1, 168, 254, 169, (367) {total: 958} {consumed: 9} glider(d-16)(ph2)(♗⬀⓪)
1, 170, 252, 169, (367) {total: 958} {consumed: 8} glider(d14)(ph2)(♗⬀⓪)
1, 176, 254, 169, (367) {total: 966} {consumed: 9} glider(d-14)(ph2)(♗⬀⓪)
1, 178, 252, 169, (367) {total: 966} {consumed: 8} glider(d16)(ph2)(♗⬀⓪)
1, 186, 252, 169, (367) {total: 974} {consumed: 8} glider(d18)(ph2)(♗⬀⓪)
1, 192, 92, 36, (67) {total: 387} {consumed: 4} glider(d-18)(ph2)(♗⬀⓪)
1, 192, 92, 38, (67) {total: 389} {consumed: 4} glider(d-18)(ph0)(♗⬀⓪)
1, 192, 92, 114, (67) {total: 465} {consumed: 5} glider(d-18)(ph0)(♗⬀⓪)
1, 192, 92, 117, (170) {total: 571} {consumed: 6} glider(d-20)(ph2)(♗⬀⓪)
1, 192, 254, 169, (367) {total: 982} {consumed: 9} glider(d-10)(ph2)(♗⬀⓪)
1, 194, 252, 169, (367) {total: 982} {consumed: 8} glider(d20)(ph2)(♗⬀⓪)
1, 200, 92, 36, (67) {total: 395} {consumed: 4} glider(d-16)(ph2)(♗⬀⓪)
1, 200, 92, 38, (67) {total: 397} {consumed: 4} glider(d-16)(ph0)(♗⬀⓪)
1, 200, 92, 114, (67) {total: 473} {consumed: 5} glider(d-16)(ph0)(♗⬀⓪)
1, 200, 92, 117, (170) {total: 579} {consumed: 6} glider(d-18)(ph2)(♗⬀⓪)
1, 200, 254, 169, (367) {total: 990} {consumed: 9} glider(d-8)(ph2)(♗⬀⓪)
1, 202, 252, 169, (367) {total: 990} {consumed: 8} glider(d22)(ph2)(♗⬀⓪)
1, 208, 92, 36, (67) {total: 403} {consumed: 4} glider(d-14)(ph2)(♗⬀⓪)
1, 208, 92, 38, (67) {total: 405} {consumed: 4} glider(d-14)(ph0)(♗⬀⓪)
1, 208, 92, 114, (67) {total: 481} {consumed: 5} glider(d-14)(ph0)(♗⬀⓪)
1, 208, 254, 169, (367) {total: 998} {consumed: 9} glider(d-6)(ph2)(♗⬀⓪)
1, 210, 252, 169, (367) {total: 998} {consumed: 8} glider(d24)(ph2)(♗⬀⓪)
1, 216, 92, 36, (67) {total: 411} {consumed: 4} glider(d-12)(ph2)(♗⬀⓪)
1, 216, 92, 38, (67) {total: 413} {consumed: 4} glider(d-12)(ph0)(♗⬀⓪)
1, 216, 92, 114, (67) {total: 489} {consumed: 5} glider(d-12)(ph0)(♗⬀⓪)
1, 216, 92, 117, (170) {total: 595} {consumed: 6} glider(d-14)(ph2)(♗⬀⓪)
1, 216, 254, 169, (367) {total: 1006} {consumed: 9} glider(d-4)(ph2)(♗⬀⓪)
1, 218, 252, 169, (367) {total: 1006} {consumed: 8} glider(d26)(ph2)(♗⬀⓪)
1, 224, 92, 36, (67) {total: 419} {consumed: 4} glider(d-10)(ph2)(♗⬀⓪)
1, 224, 92, 38, (67) {total: 421} {consumed: 4} glider(d-10)(ph0)(♗⬀⓪)
1, 224, 92, 114, (67) {total: 497} {consumed: 5} glider(d-10)(ph0)(♗⬀⓪)
1, 224, 254, 169, (367) {total: 1014} {consumed: 9} glider(d-2)(ph2)(♗⬀⓪)
1, 226, 252, 169, (367) {total: 1014} {consumed: 8} glider(d28)(ph2)(♗⬀⓪)
1, 232, 92, 114, (67) {total: 505} {consumed: 5} glider(d-8)(ph0)(♗⬀⓪)
1, 232, 254, 169, (367) {total: 1022} {consumed: 9} glider(d0)(ph2)(♗⬀⓪)
1, 234, 252, 169, (367) {total: 1022} {consumed: 8} glider(d30)(ph2)(♗⬀⓪)
1, 240, 254, 169, (367) {total: 1030} {consumed: 9} glider(d2)(ph2)(♗⬀⓪)
1, 242, 252, 169, (367) {total: 1030} {consumed: 8} glider(d32)(ph2)(♗⬀⓪)
1, 248, 92, 36, (67) {total: 443} {consumed: 4} glider(d-4)(ph2)(♗⬀⓪)
1, 248, 92, 38, (67) {total: 445} {consumed: 4} glider(d-4)(ph0)(♗⬀⓪)
1, 248, 92, 114, (67) {total: 521} {consumed: 5} glider(d-4)(ph0)(♗⬀⓪)
1, 248, 254, 169, (367) {total: 1038} {consumed: 9} glider(d4)(ph2)(♗⬀⓪)
1, 250, 252, 169, (367) {total: 1038} {consumed: 8} glider(d34)(ph2)(♗⬀⓪)
3, 38, 94, 169, (367) {total: 668} {consumed: 8} glider(d-58)(ph2)(♗⬀⓪)
3, 38, 92, 36, (67) {total: 233} {consumed: 3} glider(d-26)(ph2)(♗⬀⓪)
