'glider(d11)(ph3)(♝⬃①)' (20, 97, 233) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 234) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 235) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 236) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 237) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 238) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 239) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 240) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 241) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 242) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 243) ['g0', 'g1', 'g2', 'g3', 'g4', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 247) ['g0', 'g1', 'g2', 'g3', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 249) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 90) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
